X1,Y1,X2,Y2,Text,X,Y,d
1409.393554,317.856593,1428.086833,338.399865,B.C,1418.7401935,328.128229,False
1419.833548,314.331737,1432.646830,317.759867,.,1426.240189,316.045802,False
1130.379548,379.931384,1148.883334,392.747994,Ø9,1139.631441,386.339689,False
1152.699503,379.931384,1157.313482,392.747994,-,1155.0064925000001,386.339689,False
1161.219417,379.931384,1189.683258,392.747994,Thru,1175.4513375000001,386.339689,False
804.712568,433.176280,817.528721,460.199816,11.7,811.1206445,446.688048,False
779.140694,581.531520,786.388708,594.347849,5,782.7647010000001,587.9396845,False
752.380677,588.491524,766.218676,603.947852,4x,759.2996765,596.219688,False
769.780692,584.891520,779.192682,597.707849,R,774.4866870000001,591.2996845,False
484.900806,707.411253,499.508677,720.227863,2x,492.20474149999995,713.8195579999999,False
503.380799,707.411253,518.764594,720.227863,15,511.0726965,713.8195579999999,False
1585.179366,259.574162,1592.445584,272.387255,R,1588.8124750000002,265.9807085,False
1599.939360,229.571512,1611.892307,247.188037,37,1605.9158335000002,238.3797745,False
1628.979348,194.293396,1642.179151,213.707502,R5,1635.5792495,204.000449,False
734.860706,864.371190,752.644525,877.187800,Ra,743.7526155,870.779495,False
756.460693,864.371190,775.684505,877.187800,3.2,766.072599,870.779495,False
1367.631343,852.216100,1380.447496,869.999652,Ra,1374.0394195,861.107876,False
1367.631343,829.176104,1380.447496,848.399638,1.6,1374.0394195,838.787871,False
45.581282,802.811214,54.047172,815.627824,F,49.814227,809.219519,False
753.820718,501.133133,766.616428,517.667432,8x,760.2185730000001,509.4002825,False
770.020692,510.013125,785.536881,527.627424,R5,777.7787865,518.8202745,False
750.820743,524.173374,763.096612,541.187386,4x,756.9586775,532.68038,False
766.300693,534.253336,781.145723,552.587362,R5,773.723208,543.420349,False
806.512567,586.832117,819.328721,601.319759,2x,812.920644,594.075938,False
806.512567,559.896227,819.328721,582.959767,140,812.920644,571.427997,False
804.689986,549.555762,817.092086,558.119777,`,810.891036,553.8377694999999,False
808.061082,535.717562,817.181726,549.479780,0.5,812.621404,542.598671,False
502.672689,417.816289,515.488842,433.199827,16,509.0807655,425.508058,False
180.820928,729.491244,197.828822,742.307854,Rz,189.32487500000002,735.899549,False
201.700918,729.491244,220.924745,742.307854,6.3,211.31283150000002,735.899549,False
434.980826,679.211264,444.222641,692.027874,K,439.6017335,685.619569,False
438.100825,694.931258,445.804646,707.747868,L,441.9527355,701.339563,False
337.540432,705.219710,351.381759,724.415395,S,344.4610955,714.8175524999999,False
261.820895,707.411253,276.428796,720.227863,2x,269.1248455,713.8195579999999,False
280.300888,707.411253,295.684713,720.227863,15,287.9928005,713.8195579999999,False
87.701265,799.691216,97.705149,812.507826,C,92.703207,806.0995210000001,False
404.740838,536.171321,420.124663,548.987931,27,412.4327505,542.579626,False
1571.859407,246.974197,1582.531410,265.067288,2x,1577.1954085,256.0207425,False
1419.579432,354.219851,1456.522082,373.415535,C-C,1438.050757,363.81769299999996,False
1462.299468,354.219851,1469.209756,373.415535,(,1465.754612,363.81769299999996,False
1475.019486,354.219851,1486.557384,373.415535,1,1480.788435,363.81769299999996,False
1492.299497,354.219851,1498.068445,373.415535,:,1495.183971,363.81769299999996,False
1503.819582,354.219851,1515.357479,373.415535,1,1509.5885305000002,363.81769299999996,False
1521.219592,354.219851,1528.129880,373.415535,),1524.674736,363.81769299999996,False
1276.179490,367.059845,1310.780751,386.255530,A-A,1293.4801204999999,376.6576875,False
437.500825,652.331275,444.428722,665.147885,J,440.9647735,658.7395799999999,False
162.820935,662.531271,180.484753,675.347880,Ra,171.65284400000002,668.9395755,False
184.420937,662.531271,203.644764,675.347880,1.6,194.0328505,668.9395755,False
138.580945,776.771225,155.588839,789.587835,Rz,147.08489200000002,783.17953,False
159.460935,776.771225,178.684762,789.587835,6.3,169.07284850000002,783.17953,False
1130.379548,357.347034,1146.471713,374.735908,j,1138.4256305,366.041471,False
1152.219539,360.011392,1182.243316,372.828001,Ø0.1,1167.2314274999999,366.4196965,False
1187.859525,360.011392,1197.101340,372.828001,A,1192.4804325,366.4196965,False
1202.859519,360.011392,1226.663298,372.828001,B-C,1214.7614085,366.4196965,False
947.860621,369.099845,961.701948,388.295529,A,954.7812845000001,378.697687,False
726.940709,370.779844,740.782036,389.975529,B,733.8613725,380.3776865,False
671.992621,761.616136,684.808775,779.399688,Ra,678.4006979999999,770.507912,False
671.992621,738.576140,684.808774,757.799674,3.2,678.4006975,748.187907,False
77.021169,671.506908,98.105665,688.895783,b,87.563417,680.2013455,False
104.020958,673.811266,130.924781,686.627876,0.05,117.4728695,680.2195710000001,False
136.660945,673.811266,146.664829,686.627876,C,141.662887,680.2195710000001,False
76.781269,688.906901,98.319614,706.295776,c,87.5504415,697.6013385,False
104.020958,693.731258,130.924781,706.547868,0.05,117.4728695,700.139563,False
355.420858,536.171321,370.804683,548.987931,27,363.1127705,542.579626,False
236.152441,607.775983,248.969051,642.479743,24.74,242.560746,625.1278629999999,False
234.221311,599.641427,243.341956,605.399758,+,238.7816335,602.5205925,False
242.501308,600.916326,251.621952,604.199758,-,247.06162999999998,602.558042,False
233.621312,585.517542,242.741956,599.159760,0.1,238.18163399999997,592.338651,False
243.461308,593.677514,252.581952,599.159760,0,248.02163000000002,596.418637,False
