element;xmin;ymin;xmax;ymax;ausrichtung;point_xmi_ymi;point_xma_ymi;point_xmi_yma;point_xma_yma
[['340.730737', '708.103869', '373.945560', '715.853802', 'Designation:']];340.730737;708.103869;373.94556;715.853802;3;[340.730737, 708.103869];[373.94556, 708.103869];[340.730737, 715.853802];[373.94556, 715.853802]
[['385.899600', '715.331300', '451.820326', '748.139300', 'BEATE'], ['458.313940', '715.331300', '521.187122', '748.139300', 'GV12']];385.8996;715.3313;521.187122;748.1393;3;[385.8996, 715.3313];[521.187122, 715.3313];[385.8996, 748.1393];[521.187122, 748.1393]
[['568.469200', '748.797500', '579.573363', '769.302500', 'A']];568.4692;748.7975;579.573363;769.3025;1;[568.4692, 748.7975];[579.573363, 748.7975];[568.4692, 769.3025];[579.573363, 769.3025]
[['340.367901', '766.469312', '362.705884', '774.219245', 'Drawing'], ['364.236715', '766.469312', '372.332990', '774.219245', 'nr.:']];340.367901;766.469312;372.33299;774.219245;3;[340.367901, 766.469312];[372.33299, 766.469312];[340.367901, 774.219245];[372.33299, 774.219245]
[['340.367901', '803.563542', '356.535508', '811.313475', 'Scale:'], ['358.051050', '803.563542', '365.628761', '811.313475', '2:1']];340.367901;803.563542;365.628761;811.313475;3;[340.367901, 803.563542];[365.628761, 803.563542];[340.367901, 811.313475];[365.628761, 811.313475]
[['542.519200', '769.593300', '556.620596', '784.630300', 'A4']];542.5192;769.5933;556.620596;784.6303;3;[542.5192, 769.5933];[556.620596, 769.5933];[542.5192, 784.6303];[556.620596, 784.6303]
[['395.283600', '770.075300', '469.874211', '802.883300', 'GV_12']];395.2836;770.0753;469.874211;802.8833;3;[395.2836, 770.0753];[469.874211, 770.0753];[395.2836, 802.8833];[469.874211, 802.8833]
[['378.569200', '810.342500', '386.881701', '830.847500', '2']];378.5692;810.3425;386.881701;830.8475;1;[378.5692, 810.3425];[386.881701, 810.3425];[378.5692, 830.8475];[386.881701, 830.8475]
[['466.237700', '803.563542', '480.428674', '811.313475', 'Page'], ['481.941722', '803.563542', '490.380927', '811.313475', '1/1']];466.2377;803.563542;490.380927;811.313475;3;[466.2377, 803.563542];[490.380927, 803.563542];[466.2377, 811.313475];[490.380927, 811.313475]
[['506.129200', '810.342500', '514.441701', '830.847500', '1']];506.1292;810.3425;514.441701;830.8475;1;[506.1292, 810.3425];[514.441701, 810.3425];[506.1292, 830.8475];[514.441701, 830.8475]
