;cluster;element
51;51;[['1111.191445', '613.776202', '1124.007599', '648.479741', '88,24']]
52;52;[['729.700705', '700.179712', '743.542031', '719.375397', 'B']]
53;53;[['637.660745', '717.851248', '653.044541', '730.667858', '15']]
54;54;[['698.992610', '756.576159', '711.808764', '774.239690', 'Ra'], ['698.992610', '733.416162', '711.808764', '752.639696', '3,2']] [['671.992621', '761.616136', '684.808775', '779.399688', 'Ra'], ['671.992621', '738.576140', '684.808774', '757.799674', '3,2']]
55;55;[['223.540911', '733.906883', '234.640744', '751.295758', 'n'], ['234.580906', '738.611240', '249.964731', '751.427850', '21'], ['253.540899', '738.611240', '271.324717', '751.427850', 'H7'], ['274.780890', '734.474076', '281.369292', '752.775194', '('], ['280.180888', '735.840111', '285.939219', '744.960755', '+'], ['281.380887', '744.000108', '284.664319', '753.120752', '-'], ['286.540885', '735.120111', '311.223154', '744.240755', '0,021'], ['311.260875', '734.474076', '317.849278', '752.775194', ')'], ['321.700871', '733.906883', '347.920337', '751.295758', 'É'], ['286.540885', '744.960107', '292.023132', '754.080751', '0']]
56;56;[['1409.393554', '317.856593', '1428.086833', '338.399865', 'B.C'], ['1419.833548', '314.331737', '1432.646830', '317.759867', '.']]
57;57;[['1130.379548', '379.931384', '1148.883334', '392.747994', 'Ø9'], ['1152.699503', '379.931384', '1157.313482', '392.747994', '-'], ['1161.219417', '379.931384', '1189.683258', '392.747994', 'Thru']]
58;58;[['804.712568', '433.176280', '817.528721', '460.199816', '11,7']]
59;59;[['752.380677', '588.491524', '766.218676', '603.947852', '4x'], ['769.780692', '584.891520', '779.192682', '597.707849', 'R'], ['779.140694', '581.531520', '786.388708', '594.347849', '5']]
60;60;[['484.900806', '707.411253', '499.508677', '720.227863', '2x'], ['503.380799', '707.411253', '518.764594', '720.227863', '15']]
61;61;[['1628.979348', '194.293396', '1642.179151', '213.707502', 'R5']] [['1615.059375', '182.053432', '1625.999058', '199.907543', '2x']] [['1612.431742', '158.879936', '1626.565951', '179.640138', '10°']]
62;62;[['734.860706', '864.371190', '752.644525', '877.187800', 'Ra'], ['756.460693', '864.371190', '775.684505', '877.187800', '3,2']]
63;63;[['1367.631343', '852.216100', '1380.447496', '869.999652', 'Ra'], ['1367.631343', '829.176104', '1380.447496', '848.399638', '1,6']]
64;64;[['45.581282', '802.811214', '54.047172', '815.627824', 'F']]
65;65;[['753.820718', '501.133133', '766.616428', '517.667432', '8x'], ['770.020692', '510.013125', '785.536881', '527.627424', 'R5'], ['750.820743', '524.173374', '763.096612', '541.187386', '4x'], ['766.300693', '534.253336', '781.145723', '552.587362', 'R5']]
66;66;[['806.512567', '586.832117', '819.328721', '601.319759', '2x'], ['806.512567', '559.896227', '819.328721', '582.959767', '140'], ['804.689986', '549.555762', '817.092086', '558.119777', '`'], ['808.061082', '535.717562', '817.181726', '549.479780', '0,5']]
67;67;[['502.672689', '417.816289', '515.488842', '433.199827', '16']]
68;68;[['180.820928', '729.491244', '197.828822', '742.307854', 'Rz'], ['201.700918', '729.491244', '220.924745', '742.307854', '6,3']]
69;69;[['434.980826', '679.211264', '444.222641', '692.027874', 'K'], ['438.100825', '694.931258', '445.804646', '707.747868', 'L']]
70;70;[['337.540432', '705.219710', '351.381759', '724.415395', 'S']]
71;71;[['261.820895', '707.411253', '276.428796', '720.227863', '2x'], ['280.300888', '707.411253', '295.684713', '720.227863', '15']]
72;72;[['87.701265', '799.691216', '97.705149', '812.507826', 'C']]
73;73;[['404.740838', '536.171321', '420.124663', '548.987931', '27']]
74;74;[['1419.579432', '354.219851', '1456.522082', '373.415535', 'C-C'], ['1462.299468', '354.219851', '1469.209756', '373.415535', '('], ['1475.019486', '354.219851', '1486.557384', '373.415535', '1'], ['1492.299497', '354.219851', '1498.068445', '373.415535', ':'], ['1503.819582', '354.219851', '1515.357479', '373.415535', '1'], ['1521.219592', '354.219851', '1528.129880', '373.415535', ')']]
75;75;[['1276.179490', '367.059845', '1310.780751', '386.255530', 'A-A']]
76;76;[['437.500825', '652.331275', '444.428722', '665.147885', 'J']]
77;77;[['162.820935', '662.531271', '180.484753', '675.347880', 'Ra'], ['184.420937', '662.531271', '203.644764', '675.347880', '1,6']]
78;78;[['138.580945', '776.771225', '155.588839', '789.587835', 'Rz'], ['159.460935', '776.771225', '178.684762', '789.587835', '6,3']]
79;79;[['1130.379548', '357.347034', '1146.471713', '374.735908', 'j'], ['1152.219539', '360.011392', '1182.243316', '372.828001', 'Ø0,1'], ['1187.859525', '360.011392', '1197.101340', '372.828001', 'A'], ['1202.859519', '360.011392', '1226.663298', '372.828001', 'B-C']]
80;80;[['947.860621', '369.099845', '961.701948', '388.295529', 'A']]
81;81;[['726.940709', '370.779844', '740.782036', '389.975529', 'B']]
82;82;[['77.021169', '671.506908', '98.105665', '688.895783', 'b'], ['104.020958', '673.811266', '130.924781', '686.627876', '0,05'], ['136.660945', '673.811266', '146.664829', '686.627876', 'C'], ['76.781269', '688.906901', '98.319614', '706.295776', 'c'], ['104.020958', '693.731258', '130.924781', '706.547868', '0,05']]
83;83;[['355.420858', '536.171321', '370.804683', '548.987931', '27']]
84;84;[['236.152441', '607.775983', '248.969051', '642.479743', '24,74'], ['234.221311', '599.641427', '243.341956', '605.399758', '+'], ['242.501308', '600.916326', '251.621952', '604.199758', '-'], ['233.621312', '585.517542', '242.741956', '599.159760', '0,1'], ['243.461308', '593.677514', '252.581952', '599.159760', '0']]
85;85;[['158.632472', '521.975989', '171.449082', '537.359785', '55']]
86;86;[['158.632472', '599.855958', '171.449082', '615.359754', '55']]
87;87;[['77.021169', '649.186917', '98.105665', '666.575791', 'd'], ['107.860957', '654.011274', '127.204776', '666.827884', '0,2'], ['137.020945', '654.011274', '146.262760', '666.827884', 'A']]
88;88;[['45.221282', '661.091271', '54.463097', '673.907881', 'E']]
89;89;[['312.700875', '371.739844', '328.845631', '390.935528', 'Q']]
90;90;[['240.472439', '519.455995', '253.289049', '546.359781', '21,3'], ['237.341310', '511.321464', '246.461955', '517.079795', '+'], ['246.821306', '512.596362', '255.941951', '515.879794', '-'], ['237.341310', '505.357549', '246.461955', '510.839796', '0'], ['247.061306', '497.077577', '256.181951', '510.839796', '0,1']]
91;91;[['82.421267', '506.411333', '100.205086', '519.227943', 'Ra'], ['104.021262', '506.411333', '123.245081', '519.227943', '1,6']]
92;92;[['44.741282', '519.371328', '54.745166', '532.187938', 'D']]
93;93;[['490.180804', '362.867032', '511.265300', '380.255906', 'g'], ['522.340791', '365.291389', '549.244577', '378.107999', '0,03']]
94;94;[['184.432462', '456.575991', '197.249072', '483.599807', '39,3'], ['182.021332', '448.561487', '191.141977', '454.319818', '+'], ['190.781329', '449.716387', '199.901973', '452.999819', '-'], ['181.901332', '442.477574', '191.021977', '447.959821', '5'], ['191.741328', '442.477574', '200.861973', '447.959821', '0']] [['160.432471', '456.935986', '173.249081', '472.439811', '54'], ['158.610245', '446.595803', '171.012344', '455.159818', '`'], ['161.981340', '432.877574', '171.101985', '446.639821', '0,1']]
95;95;[['73.301171', '454.306995', '94.385667', '471.695869', 'b'], ['100.300960', '456.611353', '127.204775', '469.427963', '0,05'], ['132.940947', '456.611353', '142.182762', '469.427963', 'B'], ['73.061271', '471.586988', '94.599615', '488.975863', 'c'], ['100.300960', '476.531345', '127.204775', '489.347955', '0,05']]
96;96;[['73.301171', '431.987004', '94.385667', '449.375878', 'd'], ['104.140958', '436.811361', '123.364778', '449.627971', '0,2'], ['132.940947', '436.811361', '142.182762', '449.627971', 'A']]
97;97;[['209.500916', '386.291381', '227.284735', '399.107991', 'Ra'], ['231.100918', '386.291381', '250.324745', '399.107991', '3,2']] [['254.152434', '391.056019', '266.969044', '398.759840', '4']]
98;98;[['1130.379548', '340.211400', '1144.987478', '353.028009', '4x']]
99;99;[['581.272303', '575.191893', '594.088913', '589.799764', '2x'], ['581.272303', '536.616011', '594.088913', '571.319771', '25,25']]
100;100;[['73.901270', '385.787023', '94.985767', '403.175897', 'b'], ['100.900960', '388.091380', '120.124779', '400.907990', '0,1'], ['124.060955', '388.091380', '142.486842', '400.907990', 'CZ'], ['148.180941', '388.091380', '157.422756', '400.907990', 'B'], ['73.781270', '403.067016', '95.319615', '420.455890', 'c'], ['100.900960', '407.891372', '120.124779', '420.707982', '0,1'], ['124.060955', '407.891372', '142.486842', '420.707982', 'CZ']]
101;101;[['677.860729', '333.227044', '689.414410', '350.615918', 'o'], ['689.500724', '337.931400', '704.884520', '350.748010', '70']]
102;102;[['44.741282', '377.651385', '54.745166', '390.467994', 'C']]
103;103;[['1374.086627', '605.819920', '1391.475502', '616.919753', 'n'], ['1378.790984', '590.375962', '1391.607594', '605.759758', '90'], ['1378.790984', '561.455973', '1391.607594', '586.919765', 'H10'], ['1374.653820', '551.291374', '1392.954938', '557.879777', '('], ['1376.019855', '546.721448', '1385.140499', '552.479779', '+'], ['1384.179851', '547.996348', '1393.300496', '551.279779', '-'], ['1375.419855', '527.077582', '1384.540499', '546.239782', '0,14'], ['1385.139851', '540.757535', '1394.260495', '546.239782', '0'], ['1374.653820', '520.331387', '1392.954938', '526.919789', ')']]
104;104;[['73.781270', '368.171388', '88.389164', '380.987998', '4x']]
105;105;[['1257.459500', '290.041339', '1261.277371', '299.160632', '°']]
106;106;[['1369.791342', '660.936177', '1382.607495', '678.719729', 'Ra'], ['1369.791342', '637.896180', '1382.607495', '657.119715', '1,6']]
107;107;[['492.700803', '342.707040', '508.792968', '360.095914', 'r'], ['516.940793', '345.371397', '554.644602', '358.188007', 'Ø0,05'], ['560.380776', '345.371397', '569.622591', '358.188007', 'B']]
108;108;[['674.380730', '302.627056', '685.480563', '320.015930', 'n'], ['685.420726', '307.331413', '708.484496', '320.148023', '137']]
109;109;[['1238.499505', '291.470652', '1246.789608', '303.871018', '`'], ['1246.779501', '291.361338', '1257.366341', '301.800630', '45']] [['1216.779513', '295.213001', '1237.144475', '311.987569', '45°']]
110;110;[['1340.379464', '273.707068', '1356.471629', '291.095942', 'i'], ['1366.059454', '278.531424', '1385.283266', '291.348034', '0,1'], ['1394.859442', '278.531424', '1404.101257', '291.348034', 'A']] [['1340.379464', '253.787075', '1356.471629', '271.175950', 'i'], ['1362.219455', '258.731432', '1389.123300', '271.548042', '0,05'], ['1394.859442', '258.731432', '1404.101257', '271.548042', 'B']]
111;111;[['1193.391412', '537.456243', '1206.207566', '556.679777', '7,5'], ['1193.391412', '508.156254', '1206.207566', '533.639781', 'MIN']]
112;112;[['168.340933', '336.827042', '179.440766', '354.215916', 'n'], ['179.380928', '341.531399', '194.884753', '354.348009', '21'], ['198.340921', '341.531399', '216.124739', '354.348009', 'H7'], ['219.700912', '337.394235', '226.289314', '355.695353', '('], ['224.980910', '338.760270', '230.739241', '347.880914', '+'], ['226.180910', '346.920266', '229.464341', '356.040911', '-'], ['231.220908', '338.040270', '256.023162', '347.160914', '0,021'], ['256.060898', '337.394235', '262.649300', '355.695353', ')'], ['266.500893', '336.827042', '292.720359', '354.215916', 'É'], ['231.220908', '347.880266', '236.703154', '357.000910', '0']]
113;113;[['1193.391412', '611.616214', '1206.207566', '630.839748', '7,5'], ['1193.391412', '582.436225', '1206.207566', '607.679751', 'MIN']]
114;114;[['492.220803', '299.267057', '508.312968', '316.655931', 'r'], ['516.460793', '301.931415', '554.164603', '314.748025', 'Ø0,05'], ['559.900776', '301.931415', '583.704673', '314.748025', 'B-C'], ['489.700804', '319.307049', '510.785300', '336.695923', 'g'], ['521.860791', '321.731407', '548.884577', '334.548017', '0,03']]
